ColumnID,ColumnDescription,TopicArea
hi_001,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population,HealthInsurance
hi_002,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male:,HealthInsurance
hi_003,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: Under 6 years:,HealthInsurance
hi_004,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: Under 6 years: With health insurance coverage,HealthInsurance
hi_005,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: Under 6 years: No health insurance coverage,HealthInsurance
hi_006,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 6 to 17 years:,HealthInsurance
hi_007,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 6 to 17 years: With health insurance coverage,HealthInsurance
hi_008,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 6 to 17 years: No health insurance coverage,HealthInsurance
hi_009,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 18 to 24 years:,HealthInsurance
hi_010,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 18 to 24 years: With health insurance coverage,HealthInsurance
hi_011,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 18 to 24 years: No health insurance coverage,HealthInsurance
hi_012,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 25 to 34 years:,HealthInsurance
hi_013,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 25 to 34 years: With health insurance coverage,HealthInsurance
hi_014,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 25 to 34 years: No health insurance coverage,HealthInsurance
hi_015,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 35 to 44 years:,HealthInsurance
hi_016,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 35 to 44 years: With health insurance coverage,HealthInsurance
hi_017,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 35 to 44 years: No health insurance coverage,HealthInsurance
hi_018,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 45 to 54 years:,HealthInsurance
hi_019,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 45 to 54 years: With health insurance coverage,HealthInsurance
hi_020,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 45 to 54 years: No health insurance coverage,HealthInsurance
hi_021,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 55 to 64 years:,HealthInsurance
hi_022,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 55 to 64 years: With health insurance coverage,HealthInsurance
hi_023,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 55 to 64 years: No health insurance coverage,HealthInsurance
hi_024,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 65 to 74 years:,HealthInsurance
hi_025,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 65 to 74 years: With health insurance coverage,HealthInsurance
hi_026,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 65 to 74 years: No health insurance coverage,HealthInsurance
hi_027,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 75 years and over:,HealthInsurance
hi_028,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 75 years and over: With health insurance coverage,HealthInsurance
hi_029,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Male: 75 years and over: No health insurance coverage,HealthInsurance
hi_030,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female:,HealthInsurance
hi_031,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: Under 6 years:,HealthInsurance
hi_032,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: Under 6 years: With health insurance coverage,HealthInsurance
hi_033,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: Under 6 years: No health insurance coverage,HealthInsurance
hi_034,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 6 to 17 years:,HealthInsurance
hi_035,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 6 to 17 years: With health insurance coverage,HealthInsurance
hi_036,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 6 to 17 years: No health insurance coverage,HealthInsurance
hi_037,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 18 to 24 years:,HealthInsurance
hi_038,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 18 to 24 years: With health insurance coverage,HealthInsurance
hi_039,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 18 to 24 years: No health insurance coverage,HealthInsurance
hi_040,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 25 to 34 years:,HealthInsurance
hi_041,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 25 to 34 years: With health insurance coverage,HealthInsurance
hi_042,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 25 to 34 years: No health insurance coverage,HealthInsurance
hi_043,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 35 to 44 years:,HealthInsurance
hi_044,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 35 to 44 years: With health insurance coverage,HealthInsurance
hi_045,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 35 to 44 years: No health insurance coverage,HealthInsurance
hi_046,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 45 to 54 years:,HealthInsurance
hi_047,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 45 to 54 years: With health insurance coverage,HealthInsurance
hi_048,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 45 to 54 years: No health insurance coverage,HealthInsurance
hi_049,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 55 to 64 years:,HealthInsurance
hi_050,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 55 to 64 years: With health insurance coverage,HealthInsurance
hi_051,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 55 to 64 years: No health insurance coverage,HealthInsurance
hi_052,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 65 to 74 years:,HealthInsurance
hi_053,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 65 to 74 years: With health insurance coverage,HealthInsurance
hi_054,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 65 to 74 years: No health insurance coverage,HealthInsurance
hi_055,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 75 years and over:,HealthInsurance
hi_056,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 75 years and over: With health insurance coverage,HealthInsurance
hi_057,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE for Civilian Noninstitutionalized Population Female: 75 years and over: No health insurance coverage,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
,,HealthInsurance
