ColumnID,ColumnDescription,TopicArea
income_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) for Households Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
incomeA_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER) for Households With A Householder Who Is White Alone Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
incomeB_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER) for Households With A Householder Who Is Black Or African American Alone Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
incomeC_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER) for Households With A Householder Who Is American Indian And Alaska Native Alone Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
incomeD_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER) for Households With A Householder Who Is Asian Alone Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
incomeE_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER) for Households With A Householder Who Is Native Hawaiian And Other Pacific Islander Alone Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
incomeF_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER) for Households With A Householder Who Is Some Other Race Alone Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
incomeG_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER) for Households With A Householder Who Is Two Or More Races Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
incomeH_001,"MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER) for Households With A Householder Who Is White Alone, Not Hispanic Or Latino Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",Income
incomeI_001,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER) for Households With A Householder Who Is Hispanic Or Latino Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Income
