County,FIPS,Age-Adjusted Death Rate,Average Deaths per Year
United States,0,42,138313
"Perry County, Kentucky",21193,51.7,16
"Powell County, Kentucky",21197,63.5,9
"North Slope Borough, Alaska",2185,54.1,6
"Owsley County, Kentucky",21189,45.6,2
"Union County, Florida",12125,44.4,8
"McCreary County, Kentucky",21147,43.4,9
"Leslie County, Kentucky",21131,52.4,6
"Martin County, Kentucky",21159,41.1,6
"Menifee County, Kentucky",21165,41.9,3
"Jackson County, Kentucky",21109,37.9,6
"Poinsett County, Arkansas",5111,46.4,13
"Polk County, Tennessee",47139,49.5,10
"Floyd County, Kentucky",21071,39.6,17
"Casey County, Kentucky",21045,42,8
"Madison County, Missouri",29123,41.4,6
"Mississippi County, Missouri",29133,47.6,8
"Clay County, Kentucky",21051,43.5,11
"Nome Census Area, Alaska",2180,39.6,4
"Letcher County, Kentucky",21133,45.8,12
"Whitley County, Kentucky",21235,45.4,19
"Harlan County, Kentucky",21095,49.8,16
"Logan County, West Virginia",54045,57.8,23
"Scott County, Tennessee",47151,44.2,11
"Ohio County, Kentucky",21183,43.6,12
"Bracken County, Kentucky",21023,52.6,5
"Johnson County, Kentucky",21115,38.4,10
"Carter County, Missouri",29035,48.3,3
"Trimble County, Kentucky",21223,41.1,4
"Phillips County, Arkansas",5107,56.9,13
"Lee County, Kentucky",21129,53.5,4
"Pemiscot County, Missouri",29155,57.2,12
"Hart County, Kentucky",21099,46.3,10
"Nicholas County, Kentucky",21181,56.3,5
"Henry County, Kentucky",21103,40.8,7
"Rockcastle County, Kentucky",21203,36.7,7
"Upton County, Texas",48461,44.8,2
"Benton County, Tennessee",47005,50.2,9
"Fulton County, Kentucky",21075,46.5,3
"Lake County, Tennessee",47095,46.8,4
"Caldwell County, Kentucky",21033,48.6,7
"Grayson County, Kentucky",21085,47.4,14
"Wayne County, Missouri",29223,48.9,8
"Madison County, Mississippi",28089,50.4,60
"Quitman County, Georgia",13239,47,1
"Meade County, Kentucky",21163,37.4,12
"Campbell County, Tennessee",47013,46.1,21
"Mason County, Kentucky",21161,63.3,12
"Sequatchie County, Tennessee",47153,49.9,9
"McDowell County, West Virginia",54047,38,9
"Knott County, Kentucky",21119,42.2,8
"Knox County, Kentucky",21121,43.5,16
"Lee County, Virginia",51105,45,13
"Pike County, Kentucky",21195,40.1,29
"Lawrence County, Kentucky",21127,40,7
"Overton County, Tennessee",47133,47.1,12
"Lee County, Mississippi",28081,59.6,59
"New Madrid County, Missouri",29143,55.6,12
"Monroe County, Kentucky",21171,59.8,7
"Buena Vista City, Virginia",51530,35.8,3
"Claiborne County, Tennessee",47025,52.8,19
"Liberty County, Florida",12077,36.7,4
"Russell County, Kentucky",21207,43.9,9
"Lewis County, Kentucky",21135,49,8
"Cocke County, Tennessee",47029,45.9,19
"Metcalfe County, Kentucky",21169,54.1,6
"Gallatin County, Kentucky",21077,38.8,4
"Arenac County, Michigan",26011,30,5
"Henry County, Missouri",29083,37.4,9
"Jackson County, Arkansas",5067,44.9,9
"Estill County, Kentucky",21065,44.9,7
"Howard County, Arkansas",5061,50.2,8
"Mingo County, West Virginia",54059,47.2,14
"Fentress County, Tennessee",47049,41.4,9
"Mahnomen County, Minnesota",27087,35.1,2
"Lawrence County, Arkansas",5075,42.6,8
"Ripley County, Missouri",29181,48.5,8
"Grundy County, Tennessee",47061,48.9,8
"Martinsville City, Virginia",51690,62.1,10
"Simpson County, Kentucky",21213,54.8,11
"Livingston County, Kentucky",21139,43.5,5
"Taylor County, Kentucky",21217,45.1,13
"Pushmataha County, Oklahoma",40127,40.6,5
"Lewis County, Tennessee",47101,50.5,7
"Morgan County, Kentucky",21175,38.3,6
"Knox County, Missouri",29103,42.8,2
"Ritchie County, West Virginia",54085,45.8,5
"Boone County, West Virginia",54005,43.6,12
"Hancock County, Kentucky",21091,39.6,4
"Smith County, Tennessee",47159,43.7,10
"Butts County, Georgia",13035,51.4,14
"Scott County, Indiana",18143,51.4,14
"Dunklin County, Missouri",29069,57,20
