State,StateFIPS,CountyFIPS,AreaName,hi_001,hi_002,hi_003,hi_004,hi_005,hi_006,hi_007,hi_008,hi_009,hi_010,hi_011,hi_012,hi_013,hi_014,hi_015,hi_016,hi_017,hi_018,hi_019,hi_020,hi_021,hi_022,hi_023,hi_024,hi_025,hi_026,hi_027,hi_028,hi_029,hi_030,hi_031,hi_032,hi_033,hi_034,hi_035,hi_036,hi_037,hi_038,hi_039,hi_040,hi_041,hi_042,hi_043,hi_044,hi_045,hi_046,hi_047,hi_048,hi_049,hi_050,hi_051,hi_052,hi_053,hi_054,hi_055,hi_056,hi_057
AK,02,013,"Aleutians East Borough, Alaska",3299,2193,77,57,20,153,91,62,263,51,212,336,90,246,428,130,298,514,197,317,311,159,152,85,75,10,26,26,0,1106,53,33,20,121,76,45,113,42,71,136,47,89,123,68,55,302,168,134,176,59,117,57,48,9,25,25,0
AK,02,016,"Aleutians West Census Area, Alaska",5510,3239,139,111,28,340,279,61,362,260,102,554,335,219,575,477,98,629,483,146,441,332,109,176,173,3,23,20,3,2271,181,137,44,513,437,76,192,145,47,327,233,94,330,231,99,342,266,76,285,169,116,84,72,12,17,17,0
AK,02,020,"Anchorage Municipality, Alaska",287811,143992,13917,12404,1513,24704,21747,2957,15978,12011,3967,22838,17188,5650,17929,14366,3563,19668,15942,3726,17353,15616,1737,8011,7889,122,3594,3584,10,143819,12804,11581,1223,23616,21053,2563,14759,11611,3148,23477,18141,5336,18619,15569,3050,20007,16525,3482,17321,15011,2310,8358,8106,252,4858,4829,29
AK,02,050,"Bethel Census Area, Alaska",17505,9104,1147,1002,145,2155,1951,204,971,460,511,1263,666,597,935,525,410,1193,668,525,864,562,302,377,365,12,199,197,2,8401,1104,1023,81,1915,1723,192,963,598,365,1226,852,374,960,736,224,906,625,281,752,501,251,378,372,6,197,197,0
AK,02,060,"Bristol Bay Borough, Alaska",959,543,36,32,4,87,71,16,52,39,13,66,36,30,61,47,14,121,101,20,80,55,25,30,28,2,10,10,0,416,28,23,5,89,78,11,23,17,6,46,37,9,62,53,9,76,63,13,63,49,14,13,13,0,16,16,0
AK,02,068,"Denali Borough, Alaska",1999,1075,95,75,20,156,133,23,118,64,54,148,84,64,129,110,19,203,146,57,141,125,16,72,72,0,13,13,0,924,70,70,0,91,87,4,125,53,72,159,126,33,149,101,48,134,83,51,138,96,42,43,43,0,15,15,0
AK,02,070,"Dillingham Census Area, Alaska",4961,2578,306,276,30,485,436,49,300,124,176,333,162,171,275,152,123,337,166,171,340,167,173,133,128,5,69,67,2,2383,325,305,20,460,428,32,269,145,124,339,224,115,233,172,61,289,184,105,290,205,85,116,112,4,62,62,0
AK,02,090,"Fairbanks North Star Borough, Alaska",93094,47562,4936,4550,386,7726,6984,742,6351,4965,1386,7557,5771,1786,5558,4303,1255,5831,5049,782,5833,5213,620,2731,2731,0,1039,1039,0,45532,4551,4236,315,7329,6648,681,5287,4704,583,7894,6568,1326,5647,4831,816,5820,5088,732,5287,4418,869,2384,2384,0,1333,1333,0
AK,02,100,"Haines Borough, Alaska",2554,1382,93,90,3,139,112,27,139,78,61,187,85,102,112,47,65,195,134,61,259,172,87,208,192,16,50,50,0,1172,36,32,4,151,144,7,66,44,22,162,147,15,170,75,95,167,133,34,256,205,51,109,109,0,55,55,0
AK,02,105,"Hoonah-Angoon Census Area, Alaska",2125,1126,56,42,14,105,82,23,78,25,53,127,63,64,121,86,35,224,144,80,238,179,59,133,133,0,44,44,0,999,91,76,15,134,116,18,49,27,22,107,62,45,93,62,31,165,102,63,242,151,91,90,87,3,28,28,0
