County,FIPS,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend
"US (SEER+NPCR)(1,10)",0,62.7,214612,falling
"Autauga County, Alabama(6,10)",1001,75.7,45,stable
"Baldwin County, Alabama(6,10)",1003,67.3,168,stable
"Barbour County, Alabama(6,10)",1005,75.5,27,stable
"Bibb County, Alabama(6,10)",1007,87.3,25,stable
"Blount County, Alabama(6,10)",1009,69.7,49,stable
"Bullock County, Alabama(6,10)",1011,66.3,11,stable
"Butler County, Alabama(6,10)",1013,59.2,19,stable
"Calhoun County, Alabama(6,10)",1015,84.8,122,stable
"Chambers County, Alabama(6,10)",1017,75.9,32,falling
"Cherokee County, Alabama(6,10)",1019,83.4,34,stable
"Chilton County, Alabama(6,10)",1021,74.4,37,stable
"Choctaw County, Alabama(6,10)",1023,49.9,12,stable
"Clarke County, Alabama(6,10)",1025,70.1,25,stable
"Clay County, Alabama(6,10)",1027,83.4,14,stable
"Cleburne County, Alabama(6,10)",1029,75.8,16,stable
"Coffee County, Alabama(6,10)",1031,71.7,41,stable
"Colbert County, Alabama(6,10)",1033,75.9,55,stable
"Conecuh County, Alabama(6,10)",1035,73.8,12,stable
"Coosa County, Alabama(6,10)",1037,83.6,16,stable
"Covington County, Alabama(6,10)",1039,83.9,46,stable
"Crenshaw County, Alabama(6,10)",1041,62.2,13,stable
"Cullman County, Alabama(6,10)",1043,70.2,75,stable
"Dale County, Alabama(6,10)",1045,77.7,46,stable
"Dallas County, Alabama(6,10)",1047,76.9,41,stable
"DeKalb County, Alabama(6,10)",1049,61.5,53,stable
"Elmore County, Alabama(6,10)",1051,78.6,68,stable
"Escambia County, Alabama(6,10)",1053,76.1,38,stable
"Etowah County, Alabama(6,10)",1055,82.2,108,stable
"Fayette County, Alabama(6,10)",1057,77.4,17,stable
"Franklin County, Alabama(6,10)",1059,73.4,30,stable
"Geneva County, Alabama(6,10)",1061,91.2,37,stable
"Greene County, Alabama(6,10)",1063,88.6,12,stable
"Hale County, Alabama(6,10)",1065,71.8,16,stable
"Henry County, Alabama(6,10)",1067,66.5,15,falling
"Houston County, Alabama(6,10)",1069,71.3,86,stable
"Jackson County, Alabama(6,10)",1071,81.7,60,stable
"Jefferson County, Alabama(6,10)",1073,65.3,480,falling
"Lamar County, Alabama(6,10)",1075,80.7,15,stable
"Lauderdale County, Alabama(6,10)",1077,69.5,85,stable
"Lawrence County, Alabama(6,10)",1079,88.2,35,stable
"Lee County, Alabama(6,10)",1081,59.8,69,stable
"Limestone County, Alabama(6,10)",1083,73.8,67,stable
"Lowndes County, Alabama(6,10)",1085,58,6,stable
"Macon County, Alabama(6,10)",1087,58.1,13,stable
"Madison County, Alabama(6,10)",1089,64.9,234,falling
"Marengo County, Alabama(6,10)",1091,61.8,15,stable
"Marion County, Alabama(6,10)",1093,74.7,31,stable
"Marshall County, Alabama(6,10)",1095,79.7,88,stable
"Mobile County, Alabama(6,10)",1097,76.3,349,stable
"Monroe County, Alabama(6,10)",1099,62.3,17,stable
"Montgomery County, Alabama(6,10)",1101,61.4,142,falling
"Morgan County, Alabama(6,10)",1103,81.2,118,stable
"Perry County, Alabama(6,10)",1105,83.2,9,stable
"Pickens County, Alabama(6,10)",1107,66.2,20,stable
"Pike County, Alabama(6,10)",1109,62,20,stable
"Randolph County, Alabama(6,10)",1111,75.6,22,stable
"Russell County, Alabama(6,10)",1113,79.5,49,stable
"St. Clair County, Alabama(6,10)",1115,75.6,74,stable
"Shelby County, Alabama(6,10)",1117,57.5,106,stable
"Sumter County, Alabama(6,10)",1119,56.2,11,stable
"Talladega County, Alabama(6,10)",1121,74.1,72,stable
"Tallapoosa County, Alabama(6,10)",1123,70.9,39,stable
"Tuscaloosa County, Alabama(6,10)",1125,72.6,133,stable
"Walker County, Alabama(6,10)",1127,99.1,91,stable
"Washington County, Alabama(6,10)",1129,75.2,14,stable
"Wilcox County, Alabama(6,10)",1131,74,13,stable
"Winston County, Alabama(6,10)",1133,91.6,33,stable
"Aleutians East Borough, Alaska(6,10)",2013,*,5,*
"Aleutians West Census Area, Alaska(6,10)",2016,*,1,*
"Anchorage Borough, Alaska(6,10)",2020,62.3,133,stable
"Bethel Census Area, Alaska(6,10)",2050,63.3,8,stable
"Bristol Bay Borough, Alaska(6,10)",2060,*,5,*
"Denali, Alaska(6,10)",2068,*,1,*
"Dillingham Census Area, Alaska(6,10)",2070,*,1,*
"Fairbanks North Star, Alaska(6,10)",2090,58.3,34,stable
