State,StateFIPS,CountyFIPS,AreaName,income_001,incomeA_001,incomeB_001,incomeC_001,incomeD_001,incomeE_001,incomeF_001,incomeG_001,incomeH_001,incomeI_001
AK,02,013,"Aleutians East Borough, Alaska",61518,72639,31250,54750,62679,.,.,56875,74583,51250
AK,02,016,"Aleutians West Census Area, Alaska",84306,97321,93750,48750,81250,68125,78750,88750,98654,77500
AK,02,020,"Anchorage Municipality, Alaska",78326,87235,50535,53935,63757,50313,49758,59741,89068,53926
AK,02,050,"Bethel Census Area, Alaska",51012,92647,73661,41594,110625,.,.,65806,91875,160114
AK,02,060,"Bristol Bay Borough, Alaska",79750,88000,.,63333,.,.,.,75000,90938,25625
AK,02,068,"Denali Borough, Alaska",81544,81029,.,47500,.,.,.,103889,80368,.
AK,02,070,"Dillingham Census Area, Alaska",54173,81161,.,42212,.,.,.,52083,77813,86458
AK,02,090,"Fairbanks North Star Borough, Alaska",71068,74242,56353,48333,56339,42672,48333,53139,74129,55284
AK,02,100,"Haines Borough, Alaska",58750,67888,.,45714,.,.,.,31953,68300,.
AK,02,105,"Hoonah-Angoon Census Area, Alaska",52419,64000,.,35625,.,.,.,66250,63417,68500
AK,02,110,"Juneau City and Borough, Alaska",85746,90553,106964,57821,80893,33929,76969,68720,92155,76083
AK,02,122,"Kenai Peninsula Borough, Alaska",63684,64663,122660,46458,58125,.,201171,52175,64868,64148
AK,02,130,"Ketchikan Gateway Borough, Alaska",64222,73313,NA,45536,45859,.,NA,35000,73021,83250
AK,02,150,"Kodiak Island Borough, Alaska",70887,82857,26827,48179,56585,NA,100855,50446,82090,87000
AK,02,158,"Kusilvak Census Area, Alaska",38229,63750,.,37238,155417,.,.,33125,63750,64167
AK,02,164,"Lake and Peninsula Borough, Alaska",50781,72500,.,38482,.,.,.,NA,72500,.
AK,02,170,"Matanuska-Susitna Borough, Alaska",72983,74141,55577,56724,53789,53750,65625,62664,73866,77367
AK,02,180,"Nome Census Area, Alaska",48868,85455,NA,37277,78056,.,NA,71250,85167,86607
AK,02,185,"North Slope Borough, Alaska",72576,86250,107500,59554,126964,108500,.,122955,88250,88563
AK,02,188,"Northwest Arctic Borough, Alaska",63648,99444,.,52227,69375,.,.,92917,99028,NA
AK,02,195,"Petersburg Borough, Alaska",67935,64813,NA,60417,61875,.,108359,96500,64125,106250
AK,02,198,"Prince of Wales-Hyder Census Area, Alaska",48523,53185,31250,42404,.,.,.,39000,53306,NA
AK,02,220,"Sitka City and Borough, Alaska",70376,81029,143125,40625,75000,.,34063,38533,81103,58333
AK,02,230,"Skagway Municipality, Alaska",69318,72589,.,43750,NA,.,.,45833,73393,54479
AK,02,240,"Southeast Fairbanks Census Area, Alaska",62670,71349,51563,20774,33750,.,NA,58571,70888,78750
AK,02,261,"Valdez-Cordova Census Area, Alaska",78810,82090,.,45000,105417,NA,98490,55690,82213,NA
AK,02,275,"Wrangell City and Borough, Alaska",48603,53295,.,31250,51250,.,.,47500,53693,NA
AK,02,282,"Yakutat City and Borough, Alaska",72500,76250,.,45625,127188,NA,.,56250,76250,.
AK,02,290,"Yukon-Koyukuk Census Area, Alaska",38491,63000,.,29750,76250,.,NA,45417,64083,NA
AL,01,001,"Autauga County, Alabama",51281,56854,32073,NA,2499,.,.,NA,56828,61296
AL,01,003,"Baldwin County, Alabama",50254,52594,26967,92670,36250,.,66272,29944,52945,42468
AL,01,005,"Barbour County, Alabama",32964,45039,21171,.,NA,.,26140,NA,45039,27132
AL,01,007,"Bibb County, Alabama",38678,42263,27793,.,.,.,.,NA,42094,43750
AL,01,009,"Blount County, Alabama",45813,46601,31507,61310,NA,.,28789,39318,47872,35271
AL,01,011,"Bullock County, Alabama",31938,52930,24595,.,.,.,.,.,50465,.
AL,01,013,"Butler County, Alabama",32229,42922,23453,NA,90833,.,.,NA,43313,NA
AL,01,015,"Calhoun County, Alabama",41703,46399,26071,48409,NA,.,31855,32411,46874,30575
AL,01,017,"Chambers County, Alabama",34177,42336,25442,.,62417,.,.,43478,42595,NA
AL,01,019,"Cherokee County, Alabama",36296,36679,32973,NA,11313,.,.,43750,37111,NA
AL,01,021,"Chilton County, Alabama",41627,43395,35189,83564,22981,.,26171,28162,43323,28939
AL,01,023,"Choctaw County, Alabama",33536,45321,21661,.,.,.,.,28594,45321,.
AL,01,025,"Clarke County, Alabama",32011,41390,19650,.,NA,.,.,.,41480,2499
AL,01,027,"Clay County, Alabama",35327,37166,30343,12679,.,.,.,NA,38191,24914
AL,01,029,"Cleburne County, Alabama",38056,38886,30335,.,.,.,.,NA,39439,17431
AL,01,031,"Coffee County, Alabama",46729,51998,26605,46607,39063,.,NA,60781,53134,32372
AL,01,033,"Colbert County, Alabama",40576,44296,28778,NA,NA,.,29747,28512,44433,30994
