STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2015
01,000,Alabama,Alabama,4858979
01,001,Alabama,Autauga County,55347
01,003,Alabama,Baldwin County,203709
01,005,Alabama,Barbour County,26489
01,007,Alabama,Bibb County,22583
01,009,Alabama,Blount County,57673
01,011,Alabama,Bullock County,10696
01,013,Alabama,Butler County,20154
01,015,Alabama,Calhoun County,115620
01,017,Alabama,Chambers County,34123
01,019,Alabama,Cherokee County,25859
01,021,Alabama,Chilton County,43943
01,023,Alabama,Choctaw County,13170
01,025,Alabama,Clarke County,24675
01,027,Alabama,Clay County,13555
01,029,Alabama,Cleburne County,15018
01,031,Alabama,Coffee County,51211
01,033,Alabama,Colbert County,54354
01,035,Alabama,Conecuh County,12672
01,037,Alabama,Coosa County,10724
01,039,Alabama,Covington County,37835
01,041,Alabama,Crenshaw County,13963
01,043,Alabama,Cullman County,82005
01,045,Alabama,Dale County,49565
01,047,Alabama,Dallas County,41131
01,049,Alabama,DeKalb County,71130
01,051,Alabama,Elmore County,81468
01,053,Alabama,Escambia County,37789
01,055,Alabama,Etowah County,103057
01,057,Alabama,Fayette County,16759
01,059,Alabama,Franklin County,31696
01,061,Alabama,Geneva County,26777
01,063,Alabama,Greene County,8479
01,065,Alabama,Hale County,15068
01,067,Alabama,Henry County,17221
01,069,Alabama,Houston County,104173
01,071,Alabama,Jackson County,52419
01,073,Alabama,Jefferson County,660367
01,075,Alabama,Lamar County,13886
01,077,Alabama,Lauderdale County,92596
01,079,Alabama,Lawrence County,33115
01,081,Alabama,Lee County,156993
01,083,Alabama,Limestone County,91663
01,085,Alabama,Lowndes County,10458
01,087,Alabama,Macon County,19105
01,089,Alabama,Madison County,353089
01,091,Alabama,Marengo County,20028
01,093,Alabama,Marion County,30168
01,095,Alabama,Marshall County,94725
01,097,Alabama,Mobile County,415395
01,099,Alabama,Monroe County,21673
01,101,Alabama,Montgomery County,226519
01,103,Alabama,Morgan County,119565
01,105,Alabama,Perry County,9652
01,107,Alabama,Pickens County,20864
01,109,Alabama,Pike County,33046
01,111,Alabama,Randolph County,22696
01,113,Alabama,Russell County,59660
01,115,Alabama,St. Clair County,87074
01,117,Alabama,Shelby County,208713
01,119,Alabama,Sumter County,13103
01,121,Alabama,Talladega County,80862
01,123,Alabama,Tallapoosa County,40844
01,125,Alabama,Tuscaloosa County,203976
01,127,Alabama,Walker County,65294
01,129,Alabama,Washington County,16804
01,131,Alabama,Wilcox County,11059
01,133,Alabama,Winston County,23877
02,000,Alaska,Alaska,738432
02,013,Alaska,Aleutians East Borough,3341
02,016,Alaska,Aleutians West Census Area,5702
02,020,Alaska,Anchorage Municipality,298695
02,050,Alaska,Bethel Census Area,17946
02,060,Alaska,Bristol Bay Borough,892
02,068,Alaska,Denali Borough,1919
02,070,Alaska,Dillingham Census Area,4997
02,090,Alaska,Fairbanks North Star Borough,99631
02,100,Alaska,Haines Borough,2534
02,105,Alaska,Hoonah-Angoon Census Area,2133
02,110,Alaska,Juneau City and Borough,32756
02,122,Alaska,Kenai Peninsula Borough,58059
02,130,Alaska,Ketchikan Gateway Borough,13709
02,150,Alaska,Kodiak Island Borough,13889
02,158,Alaska,Kusilvak Census Area,8119
02,164,Alaska,Lake and Peninsula Borough,1563
02,170,Alaska,Matanuska-Susitna Borough,101095
02,180,Alaska,Nome Census Area,9846
02,185,Alaska,North Slope Borough,9687
02,188,Alaska,Northwest Arctic Borough,7752
02,195,Alaska,Petersburg Borough,3177
02,198,Alaska,Prince of Wales-Hyder Census Area,6341
02,220,Alaska,Sitka City and Borough,8863
02,230,Alaska,Skagway Municipality,1057
02,240,Alaska,Southeast Fairbanks Census Area,6839
02,261,Alaska,Valdez-Cordova Census Area,9362
02,275,Alaska,Wrangell City and Borough,2382
02,282,Alaska,Yakutat City and Borough,613
02,290,Alaska,Yukon-Koyukuk Census Area,5533
04,000,Arizona,Arizona,6828065
04,001,Arizona,Apache County,71474
04,003,Arizona,Cochise County,126427
04,005,Arizona,Coconino County,139097
04,007,Arizona,Gila County,53159
04,009,Arizona,Graham County,37666
04,011,Arizona,Greenlee County,9529
04,012,Arizona,La Paz County,20152
04,013,Arizona,Maricopa County,4167947
04,015,Arizona,Mohave County,204737
04,017,Arizona,Navajo County,108277
04,019,Arizona,Pima County,1010025
04,021,Arizona,Pinal County,406584
04,023,Arizona,Santa Cruz County,46461
04,025,Arizona,Yavapai County,222255
04,027,Arizona,Yuma County,204275
05,000,Arkansas,Arkansas,2978204
05,001,Arkansas,Arkansas County,18433
05,003,Arkansas,Ashley County,20838
05,005,Arkansas,Baxter County,41053
05,007,Arkansas,Benton County,249672
05,009,Arkansas,Boone County,37222
05,011,Arkansas,Bradley County,11094
05,013,Arkansas,Calhoun County,5229
05,015,Arkansas,Carroll County,27704
05,017,Arkansas,Chicot County,11027
05,019,Arkansas,Clark County,22633
05,021,Arkansas,Clay County,15109
05,023,Arkansas,Cleburne County,25467
05,025,Arkansas,Cleveland County,8311
05,027,Arkansas,Columbia County,24114
05,029,Arkansas,Conway County,21019
05,031,Arkansas,Craighead County,104354
05,033,Arkansas,Crawford County,61703
05,035,Arkansas,Crittenden County,48963
05,037,Arkansas,Cross County,17284
05,039,Arkansas,Dallas County,7604
05,041,Arkansas,Desha County,11965
05,043,Arkansas,Drew County,18778
05,045,Arkansas,Faulkner County,121552
05,047,Arkansas,Franklin County,17702
05,049,Arkansas,Fulton County,12204
05,051,Arkansas,Garland County,97177
05,053,Arkansas,Grant County,18102
05,055,Arkansas,Greene County,44196
05,057,Arkansas,Hempstead County,22084
05,059,Arkansas,Hot Spring County,33426
05,061,Arkansas,Howard County,13300
05,063,Arkansas,Independence County,37052
05,065,Arkansas,Izard County,13445
05,067,Arkansas,Jackson County,17338
05,069,Arkansas,Jefferson County,71565
05,071,Arkansas,Johnson County,26141
05,073,Arkansas,Lafayette County,6996
05,075,Arkansas,Lawrence County,16779
05,077,Arkansas,Lee County,9650
05,079,Arkansas,Lincoln County,13820
